sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
EOL:1065098	Glaucis hirsuta	RO:0002470	eats	EOL:1109641	Cephaelis muscosa	GEONAMES:3573591	Arima Valley in the Northern Range of Trinidad	10.4		1959-02/1961-09	doi:10.2307/3481	Snow, Barbara K., and D. W. Snow. "Feeding niches of hummingbirds in a Trinidad valley." The Journal of Animal Ecology (1972): 471-485.
EOL:1048738	Phaethornis guy	RO:0002470	eats	EOL:1109641	Cephaelis muscosa	GEONAMES:3573591	Arima Valley in the Northern Range of Trinidad	10.4		1959-02/1961-09	doi:10.2307/3481	Snow, Barbara K., and D. W. Snow. "Feeding niches of hummingbirds in a Trinidad valley." The Journal of Animal Ecology (1972): 471-485.
EOL:1048756	Phaethornis longuemareus	RO:0002470	eats	EOL:1109641	Cephaelis muscosa	GEONAMES:3573591	Arima Valley in the Northern Range of Trinidad	10.4		1959-02/1961-09	doi:10.2307/3481	Snow, Barbara K., and D. W. Snow. "Feeding niches of hummingbirds in a Trinidad valley." The Journal of Animal Ecology (1972): 471-485.
EOL:1065103	Chlorestes notatus	RO:0002470	eats	EOL:1109641	Cephaelis muscosa	GEONAMES:3573591	Arima Valley in the Northern Range of Trinidad	10.4		1959-02/1961-09	doi:10.2307/3481	Snow, Barbara K., and D. W. Snow. "Feeding niches of hummingbirds in a Trinidad valley." The Journal of Animal Ecology (1972): 471-485.
EOL:1065098	Glaucis hirsuta	RO:0002470	eats	EOL:597494	Centropogon surinamensis	GEONAMES:3573591	Arima Valley in the Northern Range of Trinidad	10.4		1959-02/1961-09	doi:10.2307/3481	Snow, Barbara K., and D. W. Snow. "Feeding niches of hummingbirds in a Trinidad valley." The Journal of Animal Ecology (1972): 471-485.
EOL:1048738	Phaethornis guy	RO:0002470	eats	EOL:597494	Centropogon surinamensis	GEONAMES:3573591	Arima Valley in the Northern Range of Trinidad	10.4		1959-02/1961-09	doi:10.2307/3481	Snow, Barbara K., and D. W. Snow. "Feeding niches of hummingbirds in a Trinidad valley." The Journal of Animal Ecology (1972): 471-485.
EOL:1048756	Phaethornis longuemareus	RO:0002470	eats	EOL:597494	Centropogon surinamensis	GEONAMES:3573591	Arima Valley in the Northern Range of Trinidad	10.4		1959-02/1961-09	doi:10.2307/3481	Snow, Barbara K., and D. W. Snow. "Feeding niches of hummingbirds in a Trinidad valley." The Journal of Animal Ecology (1972): 471-485.
EOL:1065098	Glaucis hirsuta	RO:0002470	eats	EOL:597033	Mandevilla hirsuta	GEONAMES:3573591	Arima Valley in the Northern Range of Trinidad	10.4		1959-02/1961-09	doi:10.2307/3481	Snow, Barbara K., and D. W. Snow. "Feeding niches of hummingbirds in a Trinidad valley." The Journal of Animal Ecology (1972): 471-485.
EOL:1048738	Phaethornis guy	RO:0002470	eats	EOL:597033	Mandevilla hirsuta	GEONAMES:3573591	Arima Valley in the Northern Range of Trinidad	10.4		1959-02/1961-09	doi:10.2307/3481	Snow, Barbara K., and D. W. Snow. "Feeding niches of hummingbirds in a Trinidad valley." The Journal of Animal Ecology (1972): 471-485.
EOL:1048756	Phaethornis longuemareus	RO:0002470	eats	EOL:597033	Mandevilla hirsuta	GEONAMES:3573591	Arima Valley in the Northern Range of Trinidad	10.4		1959-02/1961-09	doi:10.2307/3481	Snow, Barbara K., and D. W. Snow. "Feeding niches of hummingbirds in a Trinidad valley." The Journal of Animal Ecology (1972): 471-485.
EOL:1048777	Florisuga mellivora	RO:0002470	eats	EOL:597033	Mandevilla hirsuta	GEONAMES:3573591	Arima Valley in the Northern Range of Trinidad	10.4		1959-02/1961-09	doi:10.2307/3481	Snow, Barbara K., and D. W. Snow. "Feeding niches of hummingbirds in a Trinidad valley." The Journal of Animal Ecology (1972): 471-485.
EOL:1048756	Phaethornis longuemareus	RO:0002470	eats	EOL:40471280	Lisianthus chelonoides	GEONAMES:3573591	Arima Valley in the Northern Range of Trinidad	10.4		1959-02/1961-09	doi:10.2307/3481	Snow, Barbara K., and D. W. Snow. "Feeding niches of hummingbirds in a Trinidad valley." The Journal of Animal Ecology (1972): 471-485.
EOL:1065103	Chlorestes notatus	RO:0002470	eats	EOL:40471280	Lisianthus chelonoides	GEONAMES:3573591	Arima Valley in the Northern Range of Trinidad	10.4		1959-02/1961-09	doi:10.2307/3481	Snow, Barbara K., and D. W. Snow. "Feeding niches of hummingbirds in a Trinidad valley." The Journal of Animal Ecology (1972): 471-485.
EOL:1048682	Saucerottia tobaci	RO:0002470	eats	EOL:40471280	Lisianthus chelonoides	GEONAMES:3573591	Arima Valley in the Northern Range of Trinidad	10.4		1959-02/1961-09	doi:10.2307/3481	Snow, Barbara K., and D. W. Snow. "Feeding niches of hummingbirds in a Trinidad valley." The Journal of Animal Ecology (1972): 471-485.
EOL:1065098	Glaucis hirsuta	RO:0002470	eats	EOL:6928386	Pachystachys cossinea	GEONAMES:3573591	Arima Valley in the Northern Range of Trinidad	10.4		1959-02/1961-09	doi:10.2307/3481	Snow, Barbara K., and D. W. Snow. "Feeding niches of hummingbirds in a Trinidad valley." The Journal of Animal Ecology (1972): 471-485.
EOL:1048738	Phaethornis guy	RO:0002470	eats	EOL:6928386	Pachystachys cossinea	GEONAMES:3573591	Arima Valley in the Northern Range of Trinidad	10.4		1959-02/1961-09	doi:10.2307/3481	Snow, Barbara K., and D. W. Snow. "Feeding niches of hummingbirds in a Trinidad valley." The Journal of Animal Ecology (1972): 471-485.
EOL:1048756	Phaethornis longuemareus	RO:0002470	eats	EOL:6928386	Pachystachys cossinea	GEONAMES:3573591	Arima Valley in the Northern Range of Trinidad	10.4		1959-02/1961-09	doi:10.2307/3481	Snow, Barbara K., and D. W. Snow. "Feeding niches of hummingbirds in a Trinidad valley." The Journal of Animal Ecology (1972): 471-485.
EOL:1048703	Anthracothorax nigricollis	RO:0002470	eats	EOL:6928386	Pachystachys cossinea	GEONAMES:3573591	Arima Valley in the Northern Range of Trinidad	10.4		1959-02/1961-09	doi:10.2307/3481	Snow, Barbara K., and D. W. Snow. "Feeding niches of hummingbirds in a Trinidad valley." The Journal of Animal Ecology (1972): 471-485.
EOL:1065110	Amazilia chionopectus	RO:0002470	eats	EOL:6928386	Pachystachys cossinea	GEONAMES:3573591	Arima Valley in the Northern Range of Trinidad	10.4		1959-02/1961-09	doi:10.2307/3481	Snow, Barbara K., and D. W. Snow. "Feeding niches of hummingbirds in a Trinidad valley." The Journal of Animal Ecology (1972): 471-485.
EOL:1048682	Saucerottia tobaci	RO:0002470	eats	EOL:6928386	Pachystachys cossinea	GEONAMES:3573591	Arima Valley in the Northern Range of Trinidad	10.4		1959-02/1961-09	doi:10.2307/3481	Snow, Barbara K., and D. W. Snow. "Feeding niches of hummingbirds in a Trinidad valley." The Journal of Animal Ecology (1972): 471-485.
EOL:1065098	Glaucis hirsuta	RO:0002470	eats	EOL:37344	Justicia sp.	GEONAMES:3573591	Arima Valley in the Northern Range of Trinidad	10.4		1959-02/1961-09	doi:10.2307/3481	Snow, Barbara K., and D. W. Snow. "Feeding niches of hummingbirds in a Trinidad valley." The Journal of Animal Ecology (1972): 471-485.
EOL:1048756	Phaethornis longuemareus	RO:0002470	eats	EOL:37344	Justicia sp.	GEONAMES:3573591	Arima Valley in the Northern Range of Trinidad	10.4		1959-02/1961-09	doi:10.2307/3481	Snow, Barbara K., and D. W. Snow. "Feeding niches of hummingbirds in a Trinidad valley." The Journal of Animal Ecology (1972): 471-485.
EOL:1065103	Chlorestes notatus	RO:0002470	eats	EOL:37344	Justicia sp.	GEONAMES:3573591	Arima Valley in the Northern Range of Trinidad	10.4		1959-02/1961-09	doi:10.2307/3481	Snow, Barbara K., and D. W. Snow. "Feeding niches of hummingbirds in a Trinidad valley." The Journal of Animal Ecology (1972): 471-485.
EOL:1065110	Amazilia chionopectus	RO:0002470	eats	EOL:37344	Justicia sp.	GEONAMES:3573591	Arima Valley in the Northern Range of Trinidad	10.4		1959-02/1961-09	doi:10.2307/3481	Snow, Barbara K., and D. W. Snow. "Feeding niches of hummingbirds in a Trinidad valley." The Journal of Animal Ecology (1972): 471-485.
EOL:1048682	Saucerottia tobaci	RO:0002470	eats	EOL:37344	Justicia sp.	GEONAMES:3573591	Arima Valley in the Northern Range of Trinidad	10.4		1959-02/1961-09	doi:10.2307/3481	Snow, Barbara K., and D. W. Snow. "Feeding niches of hummingbirds in a Trinidad valley." The Journal of Animal Ecology (1972): 471-485.
EOL:1065098	Glaucis hirsuta	RO:0002470	eats	EOL:1118068	Heliconia bihai	GEONAMES:3573591	Arima Valley in the Northern Range of Trinidad	10.4		1959-02/1961-09	doi:10.2307/3481	Snow, Barbara K., and D. W. Snow. "Feeding niches of hummingbirds in a Trinidad valley." The Journal of Animal Ecology (1972): 471-485.
EOL:1048738	Phaethornis guy	RO:0002470	eats	EOL:1118068	Heliconia bihai	GEONAMES:3573591	Arima Valley in the Northern Range of Trinidad	10.4		1959-02/1961-09	doi:10.2307/3481	Snow, Barbara K., and D. W. Snow. "Feeding niches of hummingbirds in a Trinidad valley." The Journal of Animal Ecology (1972): 471-485.
EOL:1048756	Phaethornis longuemareus	RO:0002470	eats	EOL:1118068	Heliconia bihai	GEONAMES:3573591	Arima Valley in the Northern Range of Trinidad	10.4		1959-02/1961-09	doi:10.2307/3481	Snow, Barbara K., and D. W. Snow. "Feeding niches of hummingbirds in a Trinidad valley." The Journal of Animal Ecology (1972): 471-485.
EOL:1065103	Chlorestes notatus	RO:0002470	eats	EOL:1118068	Heliconia bihai	GEONAMES:3573591	Arima Valley in the Northern Range of Trinidad	10.4		1959-02/1961-09	doi:10.2307/3481	Snow, Barbara K., and D. W. Snow. "Feeding niches of hummingbirds in a Trinidad valley." The Journal of Animal Ecology (1972): 471-485.
EOL:1065110	Amazilia chionopectus	RO:0002470	eats	EOL:1118068	Heliconia bihai	GEONAMES:3573591	Arima Valley in the Northern Range of Trinidad	10.4		1959-02/1961-09	doi:10.2307/3481	Snow, Barbara K., and D. W. Snow. "Feeding niches of hummingbirds in a Trinidad valley." The Journal of Animal Ecology (1972): 471-485.
EOL:1048682	Saucerottia tobaci	RO:0002470	eats	EOL:1118068	Heliconia bihai	GEONAMES:3573591	Arima Valley in the Northern Range of Trinidad	10.4		1959-02/1961-09	doi:10.2307/3481	Snow, Barbara K., and D. W. Snow. "Feeding niches of hummingbirds in a Trinidad valley." The Journal of Animal Ecology (1972): 471-485.
